Object	Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
3DUnits	USm	number	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		FALSE	FALSE	FALSE	1				
3DUnits	USn	number	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		FALSE	FALSE	FALSE	1				
3DUnits	UU	string-text	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		fn:IsRequired(fn:IsPresent(USm) || fn:IsPresent(USn))	FALSE	FALSE					
3DUnits	DSm	number	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		FALSE	FALSE	FALSE	1				
3DUnits	DSn	number	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		FALSE	FALSE	FALSE	1				
3DUnits	DU	string-text	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		fn:IsRequired(fn:IsPresent(DSm) || fn:IsPresent(DSn))	FALSE	FALSE					
3DView	Type	name	1.6		FALSE	FALSE	FALSE		[3DView]			Table 315
3DView	XN	string-text	1.6		TRUE	FALSE	FALSE					
3DView	IN	string-text	1.6		FALSE	FALSE	FALSE					
3DView	MS	name	1.6		FALSE	FALSE	FALSE		[M,U3D]			
3DView	MA	array	2.0		FALSE	FALSE	FALSE				[ArrayOf3DMeasure]	
3DView	C2W	array	1.6		fn:IsRequired(@MS==M)	FALSE	FALSE				[ArrayOf3DTransMatrix]	
3DView	U3DPath	array;string-text	1.6		fn:IsRequired(@MS==U3D)	FALSE	FALSE				[ArrayOfStringsText];[]	
3DView	CO	number	1.6		FALSE	FALSE	FALSE					
3DView	P	dictionary	1.6		FALSE	FALSE	FALSE				[Projection]	
3DView	O	stream	1.6		FALSE	TRUE	FALSE			[fn:IsMeaningful(fn:IsPresent(MS) && fn:IsPresent(P))]	[XObjectFormType1]	
3DView	BG	dictionary	1.6		FALSE	FALSE	FALSE				[3DBackground]	
3DView	RM	dictionary	1.7		FALSE	FALSE	FALSE				[3DRenderMode]	
3DView	LS	dictionary	1.7		FALSE	FALSE	FALSE				[3DLightingScheme]	
3DView	SA	array	1.7		FALSE	FALSE	FALSE				[ArrayOf3DCrossSection]	
3DView	NA	array	1.7		FALSE	FALSE	FALSE				[ArrayOf3DNode]	
3DView	NR	boolean	1.7		FALSE	FALSE	FALSE	false				
3DViewAddEntries	Type	name	2.0		FALSE	FALSE	FALSE		[3DView]			Table 315 and Table 344 - for rich media only
3DViewAddEntries	XN	string	2.0		TRUE	FALSE	FALSE					
3DViewAddEntries	IN	string	2.0		FALSE	FALSE	FALSE	@XN				
3DViewAddEntries	MS	name	2.0		FALSE	FALSE	FALSE					
3DViewAddEntries	MA	array	2.0		FALSE	FALSE	FALSE				[ArrayOf3DMeasure]	
3DViewAddEntries	C2W	array	2.0		fn:IsRequired(@MS==M)	FALSE	FALSE				[ArrayOf3DTransMatrix]	
3DViewAddEntries	U3DPath	array;string	2.0		fn:IsRequired(@MS==U3D)	FALSE	FALSE				[ArrayOfStringsText];[]	
3DViewAddEntries	CO	number	2.0		FALSE	FALSE	FALSE					
3DViewAddEntries	P	dictionary	2.0		FALSE	FALSE	FALSE				[Projection]	
3DViewAddEntries	O	stream	2.0		FALSE	TRUE	FALSE				[XObjectFormType1]	
3DViewAddEntries	BG	dictionary	2.0		FALSE	FALSE	FALSE				[3DBackground]	
3DViewAddEntries	RM	dictionary	2.0		FALSE	FALSE	FALSE				[3DRenderMode]	
3DViewAddEntries	LS	dictionary	2.0		FALSE	FALSE	FALSE				[3DLightingScheme]	
3DViewAddEntries	SA	array	2.0		FALSE	FALSE	FALSE				[ArrayOf3DCrossSection]	
3DViewAddEntries	NA	array	2.0		FALSE	FALSE	FALSE				[ArrayOf3DNode]	
3DViewAddEntries	NR	boolean	2.0		FALSE	FALSE	FALSE	false				
3DViewAddEntries	Snapshot	stream	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		FALSE	TRUE	FALSE				[XObjectImage]	
3DViewAddEntries	Params	array	fn:Eval(fn:Extension(ADBE_Extn3,1.7) || 2.0)		FALSE	FALSE	FALSE				[ArrayOfViewParams]	
AAPL_ST	Type	name	fn:Extension(AAPL,1.2)		FALSE	FALSE	FALSE		[Style]			AAPL:ST in Graphics State
AAPL_ST	Subtype	name	fn:Extension(AAPL,1.2)		FALSE	FALSE	FALSE		[Shadow]			
AAPL_ST	Offset	array	fn:Extension(AAPL,1.2)		FALSE	FALSE	FALSE				[ArrayOf_2Numbers]	X,Y offset for drop shadow
AAPL_ST	Radius	number	fn:Extension(AAPL,1.2)		FALSE	FALSE	FALSE			[fn:Eval(@Radius>0)]		
AAPL_ST	ColorSpace	array;name	fn:Extension(AAPL,1.2)		FALSE	FALSE	FALSE		[];[DeviceCMYK,DeviceRGB,DeviceGray]		[fn:SinceVersion(1.1,CalGrayColorSpace),fn:SinceVersion(1.1,CalRGBColorSpace),fn:SinceVersion(1.1,LabColorSpace),fn:SinceVersion(1.3,ICCBasedColorSpace),IndexedColorSpace];[]	
AAPL_ST	Color	array	fn:Extension(AAPL,1.2)		FALSE	FALSE	FALSE				[ArrayOfNumbersGeneral]	
ActionECMAScript	Type	name	1.3		FALSE	FALSE	FALSE		[Action]			Table 196 and Table 221
ActionECMAScript	S	name	1.3		TRUE	FALSE	FALSE		[JavaScript]			
ActionECMAScript	Next	array;dictionary	1.3		FALSE	FALSE	FALSE				[ArrayOfActions];[ActionGoTo,ActionGoToR,fn:SinceVersion(1.6,ActionGoToE),fn:SinceVersion(2.0,ActionGoToDp),ActionLaunch,ActionThread,ActionURI,ActionSound,ActionMovie,ActionHide,ActionNamed,ActionSubmitForm,ActionResetForm,ActionImportData,fn:SinceVersion(1.5,ActionSetOCGState),fn:SinceVersion(1.5,ActionRendition),fn:SinceVersion(1.5,ActionTransition),fn:SinceVersion(1.6,ActionGoTo3DView),ActionECMAScript,fn:SinceVersion(2.0,ActionRichMediaExecute)]	
